p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.1308764470847937e-12,0.38098799147039486,0.995,1,2.639578715140617e-8,0,H2-Ab1
1.1521618517537866e-8,0.4115656771598859,0.997,1,2.689260978178513e-4,0,Ubb
4.9494449389722096e-8,0.6518552073556143,0.147,0.393,0.0011552499432055034,0,Itgal
4.569350869821723e-7,0.31779625980864523,1,1,0.010665321865250883,0,Malat1
6.094535262915111e-7,0.37972348846900417,1,1,0.01422525475717016,0,Rps27
6.936134138671066e-7,0.28852873394758927,0.246,0.521,0.016189630693072138,0,Cggbp1
8.037419569608483e-7,0.3036731486054034,0.27,0.543,0.01876014101742316,0,Ndel1
1.0550526430168281e-6,0.35919624282807305,0.115,0.314,0.024625983740655784,0,Phf21a
1.2593555655989707e-6,0.2683737984260737,0.158,0.371,0.029394618256645574,0,Dhx9
1.5131096093515502e-6,0.30132332784042326,0.126,0.321,0.03531749139187453,0,Phf14
1.8204352464208817e-6,0.27350198337049925,0.27,0.536,0.0424907790867098,0,Rab1b
2.0471684467694614e-6,0.43208263553726045,0.989,1,0.047782958716046,0,Fau
2.2324505161802595e-6,0.2725647207612587,0.198,0.436,0.05210762749816344,0,Rassf3
3.153350955758758e-6,0.3412456396502459,0.219,0.457,0.07360236465836517,0,Capns1
3.953535959532356e-6,0.37670086096056465,0.104,0.286,0.09227948283144471,0,Rexo1
4.0029573283187815e-6,0.2994013380653193,0.166,0.386,0.09343302700028867,0,Nrp
4.357385884960109e-6,0.3382549204099652,0.195,0.421,0.10170574394085391,0,Preb
5.192934717054892e-6,0.3793657097637877,0.147,0.343,0.12120828923077824,0,Acap2
5.592351155277562e-6,0.3563636865345754,0.144,0.336,0.13053106831533356,0,Sec24b
6.888687577302791e-6,0.2923016080119374,0.136,0.321,0.16078885674182444,0,Traf6
7.390358330195627e-6,0.3144487131280296,0.251,0.521,0.17249835378509612,0,Gadd45gip1
9.27957694793363e-6,0.32757859556401847,0.128,0.307,0.21659460554171886,0,Pitpnb
