p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
0,5.200793396582636,1,0.002,0,Sirpb1a
0,4.647161917936138,1,0.001,0,Kcnc2
0,4.605680172967193,1,0.001,0,Vnn3
0,4.251147456932817,1,0.002,0,Fgf10
0,4.119627559974794,1,0.002,0,Fam196a
0,4.065542751388204,1,0.001,0,Acss3
0,4.0142833379384495,1,0,0,Hs3st3a1
0,3.977542036912866,1,0.002,0,Hoxb2
0,3.611609888555813,1,0.002,0,Tmem52
0,3.5853357740140055,1,0.001,0,Gm266
0,3.547118680744582,1,0.001,0,Slc13a3
0,3.522240847700393,1,0.001,0,Vwc2
0,3.517320699279793,1,0,0,Dppa3
0,3.210428271809678,1,0.001,0,Zfp791
0,3.0359593581988134,1,0.001,0,Gm1078
0,2.9775788444363727,1,0.002,0,Slc47a1
0,2.9578060294134896,1,0.002,0,Rab42-ps
0,2.761393620947598,0.75,0.001,0,Tcf23
0,2.290680019804941,0.75,0,0,Vwce
0,2.05906362674627,0.75,0.001,0,4932441J04Rik
0,1.923798280767406,0.75,0,0,Hand2
3.251859408122533e-290,3.96561540722961,1,0.002,7.590165044498805e-286,Tram1l1
3.251859408122533e-290,3.8215973289189984,1,0.002,7.590165044498805e-286,LOC100038947
4.542240163378294e-290,3.4454422162233995,1,0.002,1.0602042765341275e-285,Slc2a4
8.134147062550999e-290,1.1583903611797772,0.5,0,1.898591265870029e-285,Gpr173
3.800527897989686e-279,2.3112295344932585,0.75,0.001,8.870812166697726e-275,Twist1
1.588244687370724e-268,3.5811331258722183,1,0.002,3.7071219247920072e-264,Rgs6
2.1628903841541831e-268,5.294841512998756,1,0.002,5.048402445654279e-264,A530064D06Rik
2.5239480705500623e-268,4.5116664132866875,1,0.002,5.891147191470901e-264,Klra2
2.5239480705500623e-268,2.660464504895192,1,0.002,5.891147191470901e-264,Cys1
1.8746065119545348e-267,4.078499799256567,1,0.002,4.3755190595530795e-263,Batf3
4.050095903367163e-267,3.177313939611156,1,0.002,9.453328848049295e-263,Nos2
