p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
6.70955538113648e-98,0.3179566409537218,0.98,0.917,1.5660773215110657e-93,0,Cd52,Spleen
4.477635909110677e-93,0.373479809797459,0.964,0.854,1.0451249975455231e-88,0,Shisa5,Spleen
2.2124641864116925e-71,1.432596060447822,0.579,0.304,5.164112657503531e-67,0,Cr2,Spleen
2.124741824688047e-69,0.2618581767415744,0.911,0.77,4.959359893004371e-65,0,H2-DMb2,Spleen
7.796413433471958e-38,0.7405403025289443,0.977,0.967,1.8197608595066896e-33,0,Lars2,Spleen
8.22260256028934e-38,0.644611263091682,0.865,0.813,1.9192376635971347e-33,0,Lcp1,Spleen
1.2746893912947236e-36,0.5466353684984222,0.655,0.513,2.975252508221014e-32,0,Ly6a,Spleen
2.930226900608731e-36,0.3176319939359038,0.925,0.795,6.839442608710839e-32,0,Ms4a1,Spleen
1.3856852797146266e-35,0.3037405225992096,0.842,0.68,3.23432801138191e-31,0,Ltb,Spleen
3.776151230814818e-27,1.341215246332828,0.303,0.182,8.813914587844867e-23,0,Dtx1,Spleen
2.211979700760303e-24,0.3324218829559129,0.887,0.805,5.162981819544624e-20,0,Ctss,Spleen
1.1101482787832422e-22,0.5519872703012858,0.454,0.279,2.5911970975079658e-18,0,Icosl,Spleen
3.6318416888878503e-22,0.41969560078168566,0.875,0.823,8.477081686033132e-18,0,Ptpn6,Spleen
1.8987131940669747e-19,0.8967315718728495,0.35,0.221,4.431786466271726e-15,0,Lax1,Spleen
4.1146552587267314e-18,0.6239688845768159,0.563,0.491,9.604016839394063e-14,0,Cd38,Spleen
2.651976380132626e-17,0.39880696796415993,0.757,0.638,6.189978068867562e-13,0,Bank1,Spleen
1.4302858926220863e-16,0.5739488164011917,0.323,0.316,3.338430301969212e-12,0,Trim7,Spleen
8.689847037660528e-16,0.2556877054464146,0.215,0.324,2.028297197060344e-11,0,Ube2q1,Spleen
1.563070982433717e-15,0.6040423326014448,0.512,0.38,3.6483639800985386e-11,0,Gimap4,Spleen
1.8202099307945747e-15,0.31870499151483056,0.742,0.68,4.248551999467617e-11,0,Ly86,Spleen
6.1313451555676704e-15,0.46736125481769974,0.556,0.547,1.4311172727610498e-10,0,Lrrc33,Spleen
6.9224298993688655e-15,0.34153251601968915,0.631,0.524,1.6157643628116868e-10,0,H2-Oa,Spleen
1.159952031204804e-14,0.42194707500256,0.88,0.885,2.707444036035133e-10,0,Actr3,Spleen
1.4331838416369082e-14,0.4461704830796318,0.724,0.637,3.3451944047647075e-10,0,Cd22,Spleen
1.8609523571318033e-14,0.6380838700551807,0.33,0.202,4.343648896781342e-10,0,1300014I06Rik,Spleen
3.8363224988915166e-14,0.4175217787477905,0.626,0.503,8.954360344662689e-10,0,Slfn2,Spleen
4.119818037667216e-14,0.30850329050416603,0.255,0.326,9.616067281719049e-10,0,Fam36a,Spleen
5.5497515765546603e-14,0.4709202056175448,0.453,0.441,1.2953675154836232e-9,0,Tnfrsf13b,Spleen
1.0478625692684606e-13,0.5117450841687852,0.598,0.557,2.445816022929514e-9,0,Sipa1,Spleen
1.2442045929984094e-13,0.3575609038464673,0.715,0.584,2.9040979405175874e-9,0,Fcrl1,Spleen
1.6463044872961505e-13,0.5514655493154637,0.649,0.607,3.842639303797945e-9,0,Il16,Spleen
2.0685662771891741e-13,0.5288547294782839,0.342,0.227,4.8282405475872515e-9,0,Gimap7,Spleen
2.8531502170011365e-13,0.2553204464935366,0.203,0.304,6.659537921502353e-9,0,Rab18,Spleen
3.354887159936106e-13,0.34198465127656075,0.401,0.483,7.830642120006864e-9,0,Mat2b,Spleen
3.6238675519086356e-13,0.5090672805835013,0.512,0.388,8.458469252909947e-9,0,Bcl2,Spleen
5.150521095794086e-13,0.31354892360635533,0.272,0.342,1.2021831289692976e-8,0,Ddx18,Spleen
6.010394384425556e-13,0.5985983999753017,0.453,0.455,1.402886153268769e-8,0,Pdia4,Spleen
6.509883177204523e-13,0.25746693040576973,0.202,0.303,1.519471832391308e-8,0,Yy1,Spleen
6.916520183599689e-13,0.25204359714769975,0.761,0.808,1.6143849760540034e-8,0,Hmha1,Spleen
9.27820091666404e-13,0.3113610472201094,0.728,0.746,2.1656248759585536e-8,0,Cotl1,Spleen
1.1312384977135987e-12,0.7130427493645803,0.293,0.18,2.6404237775133107e-8,0,Pydc3,Spleen
2.7230434504988037e-12,0.4084346318709571,0.671,0.588,6.355855717809258e-8,0,Filip1l,Spleen
7.82691065936487e-12,0.3945191704900193,0.751,0.697,1.8268792170023542e-7,0,Cnn2,Spleen
