MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,extrinsic component of cytoplasmic side of plasma membrane,,,IBA,PTN000700357 ,J:161428 ,cytoplasmic side of plasma membrane
MGI:87860,Abl2,"v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)",1,,extrinsic component of cytoplasmic side of plasma membrane,,,IBA,PTN000700357 ,J:161428 ,cytoplasmic side of plasma membrane
MGI:87881,Acp1,"acid phosphatase 1, soluble",12,,cytoplasmic side of plasma membrane,,,ISO,P24666 ,J:164563 ,cytoplasmic side of plasma membrane
MGI:2685419,Ajap1,adherens junction associated protein 1,4,,cytoplasmic side of plasma membrane,,,ISO,Q9UKB5 ,J:164563 ,cytoplasmic side of plasma membrane
MGI:2685104,Akap5,A kinase (PRKA) anchor protein 5,12,,cytoplasmic side of plasma membrane,,,ISO,P24588 ,J:164563 ,cytoplasmic side of plasma membrane
MGI:87997,Alox15,arachidonate 15-lipoxygenase,11,,extrinsic component of cytoplasmic side of plasma membrane,,,ISO,P16050 ,J:164563 ,cytoplasmic side of plasma membrane
MGI:1916188,Aspscr1,"alveolar soft part sarcoma chromosome region, candidate 1 (human)",11,,cytoplasmic side of plasma membrane,,,IDA,,J:89969 ,cytoplasmic side of plasma membrane
MGI:88110,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",5,,extrinsic component of cytoplasmic side of plasma membrane,,,ISO,RGD:2174 ,J:155856 ,cytoplasmic side of plasma membrane
MGI:104653,Atp2b1,"ATPase, Ca++ transporting, plasma membrane 1",10,,cytoplasmic side of plasma membrane,,,ISO,RGD:621303 ,J:155856 ,cytoplasmic side of plasma membrane
MGI:1916297,Atp2c2,"ATPase, Ca++ transporting, type 2C, member 2",8,,cytoplasmic side of plasma membrane,,,IDA,,J:203715 ,cytoplasmic side of plasma membrane
MGI:1197009,Birc2,baculoviral IAP repeat-containing 2,9,,cytoplasmic side of plasma membrane,,,IDA,,J:161997 ,cytoplasmic side of plasma membrane
MGI:88169,Blk,B lymphoid kinase,14,,extrinsic component of cytoplasmic side of plasma membrane,,,IBA,PTN000700357 ,J:161428 ,cytoplasmic side of plasma membrane
MGI:1101778,Bmx,BMX non-receptor tyrosine kinase,X,,extrinsic component of cytoplasmic side of plasma membrane,,,IBA,PTN000700357 ,J:161428 ,cytoplasmic side of plasma membrane
MGI:88216,Btk,Bruton agammaglobulinemia tyrosine kinase,X,,extrinsic component of cytoplasmic side of plasma membrane,,,IBA,PTN000700357 ,J:161428 ,cytoplasmic side of plasma membrane
